timestamp,selatan,timur,utara,barat,bawah,atas,co2_concentration,ch4_concentration,dht_temperature,dht_humidity,bmp_temperature,bmp_pressure,sht31_temperature,sht31_humidity,heat_index,approx_altitude,absolute_humidity
2023-10-25 10:44:56:839,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.98,20.9,62.88,25,60.72,0.11
2023-10-25 10:44:57:90,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.98,NaN,62.86,25,60.68,NaN
2023-10-25 10:44:57:339,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1006.02,20.92,62.88,25,60.34,0.11
2023-10-25 10:44:57:590,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1006.02,20.9,62.89,25,60.34,0.11
2023-10-25 10:44:57:840,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.96,20.91,62.88,25,60.86,0.11
2023-10-25 10:44:58:90,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.99,20.94,NaN,25,60.64,NaN
2023-10-25 10:44:58:340,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.98,20.92,NaN,25,60.68,NaN
2023-10-25 10:44:58:590,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.98,20.92,62.87,25,60.69,0.11
2023-10-25 10:44:58:844,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.96,20.92,62.89,25,60.88,0.11
2023-10-25 10:44:59:218,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.95,20.91,62.87,25,60.94,0.11
2023-10-25 10:44:59:468,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.93,20.91,62.86,25,61.13,0.11
2023-10-25 10:44:59:718,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.97,20.91,62.87,25,60.81,0.11
2023-10-25 10:44:59:968,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.91,20.92,62.86,25,61.27,0.11
2023-10-25 10:45:0:218,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.96,20.92,62.87,25,60.9,0.11
2023-10-25 10:45:0:468,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.98,20.92,62.85,25,60.67,0.11
2023-10-25 10:45:0:718,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.98,20.92,62.86,25,60.72,0.11
2023-10-25 10:45:0:968,0,0,0,0,0.32,0,65414,78680,25,50.7,20.84,1005.96,20.91,62.86,25,60.89,0.11
2023-10-25 10:45:1:218,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.98,20.94,62.89,25,60.69,0.11
2023-10-25 10:45:1:593,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.98,20.91,NaN,25,60.74,NaN
2023-10-25 10:45:1:843,0,0,0,0,0.32,0,65414,78680,25,50.7,20.84,1005.96,20.92,62.86,25,60.85,0.11
2023-10-25 10:45:2:93,0,0,0,0,0,0,65414,78680,25,50.7,20.84,1005.99,20.92,62.84,25,60.59,0.11
2023-10-25 10:45:2:343,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.94,20.92,62.85,25,61.04,0.11
2023-10-25 10:45:2:593,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.92,20.94,62.85,25,61.18,0.11
2023-10-25 10:45:2:845,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.98,20.92,62.86,25,60.68,0.11
2023-10-25 10:45:3:94,0,0,0,0,0.32,0,65414,78680,25,50.7,20.84,1005.97,20.91,62.82,25,60.77,0.11
2023-10-25 10:45:3:345,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.99,20.94,62.84,25,60.66,0.11
2023-10-25 10:45:3:594,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1006.01,20.94,62.84,25,60.43,0.11
2023-10-25 10:45:3:845,0,0,0,0,0.32,0,65414,78680,25,50.7,20.85,1006.02,20.92,62.81,25,60.4,0.11
2023-10-25 10:45:4:96,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.96,20.94,62.82,25,60.87,0.11
2023-10-25 10:45:4:470,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.97,20.94,62.81,25,60.77,0.11
2023-10-25 10:45:4:720,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.98,20.94,62.81,25,60.72,0.11
2023-10-25 10:45:4:970,0,0,0,0,0.32,0,65414,78680,25,50.7,20.85,1005.99,20.92,62.81,25,60.6,0.11
2023-10-25 10:45:5:221,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1006.02,20.94,62.81,25,60.38,0.11
2023-10-25 10:45:5:472,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.96,20.92,62.81,25,60.84,0.11
2023-10-25 10:45:5:722,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.97,20.91,NaN,25,60.76,NaN
2023-10-25 10:45:5:974,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.93,20.92,62.8,25,61.11,0.11
2023-10-25 10:45:6:224,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.95,20.95,62.83,25,60.94,0.11
2023-10-25 10:45:6:475,0,0,0,0,0.32,0,65414,78680,25,50.7,20.85,1005.99,20.95,62.81,25,60.61,0.11
2023-10-25 10:45:6:724,0,0,0,0,0.32,0,65414,78680,25,50.7,20.85,1005.97,20.94,NaN,25,60.8,NaN
2023-10-25 10:45:7:99,0,0,0,0,0,0,65414,78680,25,50.7,20.85,1005.99,20.95,62.82,25,60.66,0.11
2023-10-25 10:45:7:349,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.95,20.98,62.81,25,60.97,0.11
2023-10-25 10:45:7:599,0,0,0,0,0.32,0,65414,78680,25,50.7,20.86,1005.97,20.97,62.84,25,60.81,0.11
2023-10-25 10:45:7:849,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.96,20.95,62.84,25,60.9,0.11
2023-10-25 10:45:8:99,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1006,20.95,62.82,25,60.55,0.11
2023-10-25 10:45:8:350,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.95,20.92,62.83,25,60.95,0.11
2023-10-25 10:45:8:600,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1006.01,NaN,62.84,25,60.49,NaN
2023-10-25 10:45:8:850,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.97,20.95,62.79,25,60.83,0.11
2023-10-25 10:45:9:100,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.98,20.95,62.83,25,60.67,0.11
2023-10-25 10:45:9:350,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1006,20.94,62.83,25,60.57,0.11
2023-10-25 10:45:9:600,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.96,NaN,62.83,25,60.85,NaN
2023-10-25 10:45:9:976,0,0,0,0,0.32,0,65414,78680,25,50.7,20.86,1005.97,20.94,62.85,25,60.83,0.11
2023-10-25 10:45:10:226,0,0,0,0,0.32,0,65414,78680,25,50.7,20.86,1005.98,NaN,62.85,25,60.74,NaN
2023-10-25 10:45:10:476,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.99,20.95,62.88,25,60.6,0.11
2023-10-25 10:45:10:726,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.94,NaN,62.86,25,61,NaN
2023-10-25 10:45:10:976,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1006.05,20.95,NaN,25,60.14,NaN
2023-10-25 10:45:11:226,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.98,20.95,62.86,25,60.67,0.11
2023-10-25 10:45:11:476,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.98,20.95,NaN,25,60.74,NaN
2023-10-25 10:45:11:727,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.96,20.94,62.84,25,60.86,0.11
2023-10-25 10:45:11:978,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.96,20.97,62.82,25,60.88,0.11
2023-10-25 10:45:12:228,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.97,20.95,62.86,25,60.81,0.11
2023-10-25 10:45:12:478,0,0,0,0,0,0,65414,78680,25,50.7,20.86,1005.97,20.97,62.84,25,60.79,0.11
2023-10-25 10:45:12:728,0,0,0,0,0,0,65414,78680,25,50.7,20.87,1005.95,NaN,62.84,25,60.95,NaN
2023-10-25 10:45:12:979,0,0,0,0,0,0,65414,78680,25,50.7,20.87,1006,20.97,NaN,25,60.52,NaN
2023-10-25 10:45:13:356,0,0,0,0,0,0,65414,78680,25,50.7,20.87,1005.94,20.94,62.84,25,61.03,0.11
2023-10-25 10:45:13:606,0,0,0,0,0.32,0,65414,78680,25,50.7,20.87,1005.95,20.98,62.86,25,60.99,0.11
2023-10-25 10:45:13:857,0,0,0,0,0,0,65414,78680,25,50.7,20.87,1006.03,20.97,62.87,25,60.3,0.11
2023-10-25 10:45:14:106,0,0,0,0,0.32,0,65414,78680,25,50.7,20.87,1006.04,NaN,62.88,25,60.22,NaN
2023-10-25 10:45:14:357,0,0,0,0,0,0,65414,78680,25,50.7,20.87,1006.01,21,62.89,25,60.48,0.11
